,Unnamed: 0,tusId,sensorName,valueX,valueY,valueZ,timestamp
0,0,350,Accelerometer,0.8978530999999998,2.1237217999999998,6.7039695,1568181807785
1,1,350,Accelerometer,-0.19154198,-0.42378664,4.73827,1568181807787
2,2,350,Accelerometer,0.80687064,0.6608198000000001,7.0942364,1568181807789
3,3,350,Accelerometer,1.0893950000000001,0.9960183000000001,7.8101244,1568181807792
4,4,350,Accelerometer,1.359948,1.3431882,8.688824,1568181807793
5,5,350,Accelerometer,1.4964218,1.4844503,8.985713,1568181807796
6,6,350,Accelerometer,1.5323358999999999,1.5395187,9.450203,1568181807797
7,7,350,Accelerometer,1.6400781999999998,1.5993756000000001,9.804555,1568181807799
8,8,350,Accelerometer,1.6951466,1.5850098999999997,9.945818,1568181807801
9,9,350,Accelerometer,1.7645805,1.6113469999999999,10.223554,1568181807803
10,10,350,Accelerometer,1.8268316999999998,1.6185298000000001,10.462981,1568181807806
11,11,350,Accelerometer,1.8795058,1.6281068,10.561146,1568181807807
12,12,350,Accelerometer,1.8914771000000001,1.6712039,10.695226,1568181807809
13,13,350,Accelerometer,1.9058428,1.7190893,10.795785,1568181807811
14,14,350,Accelerometer,1.8819,1.7286664,10.812545,1568181807813
15,15,350,Accelerometer,1.8747171000000002,1.7693691000000003,10.843671,1568181807815
16,16,350,Accelerometer,1.8890828000000002,1.7573976999999998,10.850853,1568181807817
17,17,350,Accelerometer,1.9202085,1.7765520000000001,10.810151,1568181807819
18,18,350,Accelerometer,1.9633054,1.7765520000000001,10.745505,1568181807821
19,19,350,Accelerometer,1.9800651999999999,1.7813405,10.707197,1568181807823
20,20,350,Accelerometer,2.0399222,1.7813405,10.606637,1568181807826
21,21,350,Accelerometer,2.1332988999999998,1.7597919999999998,10.544386,1568181807827
22,22,350,Accelerometer,2.1835787,1.7406378,10.477346,1568181807830
23,23,350,Accelerometer,2.317658,1.7023293999999998,10.369603999999999,1568181807831
24,24,350,Accelerometer,2.343995,1.6903580000000002,10.314536,1568181807833
25,25,350,Accelerometer,2.4086404,1.6903580000000002,10.170879,1568181807835
26,26,350,Accelerometer,2.5139885,1.6975409,9.967366,1568181807838
27,27,350,Accelerometer,2.6169424,1.7023293999999998,9.751882,1568181807839
28,28,350,Accelerometer,2.6815877,1.7358493000000002,9.648928,1568181807841
29,29,350,Accelerometer,2.813273,1.7621863000000002,9.416683,1568181807843
30,30,350,Accelerometer,2.8563697,1.7765520000000001,9.318518,1568181807845
31,31,350,Accelerometer,2.9162266,1.8196488999999998,9.093455,1568181807847
32,32,350,Accelerometer,2.8946784,1.8603516,8.899519999999999,1568181807849
