,Unnamed: 0,tusId,sensorName,valueX,valueY,valueZ,timestamp
0,0,346,Accelerometer,0.52913475,4.1397014,8.224333999999999,1568181618662
1,1,346,Accelerometer,0.52913475,4.1397014,8.224333999999999,1568181618664
2,2,346,Accelerometer,0.52913475,4.1397014,8.224333999999999,1568181618666
3,3,346,Accelerometer,0.45012367,4.812492400000001,6.93382,1568181618667
4,4,346,Accelerometer,-1.5323358999999999,-0.94095,3.258608,1568181618669
5,5,346,Accelerometer,-0.34956414,2.1045675,5.810905,1568181618671
6,6,346,Accelerometer,0.19154198,3.4597269999999996,6.9553685,1568181618674
7,7,346,Accelerometer,0.5027977,4.005622,7.5036573,1568181618676
8,8,346,Accelerometer,0.6081458000000001,4.1373067,7.649708,1568181618678
9,9,346,Accelerometer,0.7637736999999999,4.247443700000001,7.8460383,1568181618680
10,10,346,Accelerometer,0.81165916,4.249838,7.9011070000000005,1568181618682
11,11,346,Accelerometer,0.9241901,4.233078,8.004061,1568181618684
12,12,346,Accelerometer,0.9624985,4.2187123,8.030397,1568181618685
13,13,346,Accelerometer,1.0319325000000001,4.1756153,8.083072,1568181618688
14,14,346,Accelerometer,1.0917894,4.127730000000001,8.085466,1568181618690
15,15,346,Accelerometer,1.0798178999999999,4.0942099999999995,8.104619999999999,1568181618692
16,16,346,Accelerometer,1.0965778999999998,4.0726614,8.130958,1568181618694
17,17,346,Accelerometer,1.1085492000000001,4.0678730000000005,8.174054,1568181618696
18,18,346,Accelerometer,1.0941836,4.0535073,8.2027855,1568181618697
19,19,346,Accelerometer,1.0870007,4.051113,8.241094,1568181618699
20,20,346,Accelerometer,1.063058,4.065479,8.277008,1568181618701
21,21,346,Accelerometer,1.0271438,4.0319586,8.344047999999999,1568181618704
22,22,346,Accelerometer,0.9624985,4.065479,8.437425,1568181618706
23,23,346,Accelerometer,0.92658436,4.075055600000001,8.480521000000001,1568181618708
24,24,346,Accelerometer,0.8571504000000001,4.1157584,8.600235000000001,1568181618709
